
START dramblast {

START Insert TEST {
#           time             counts unit events
     1.001923346        646,493,440      umc_cas_cmd.all                  #  41375.6 MB/s  umc_mem_bandwidth   
   128.319524651      4,363,182,007      umc_cas_cmd.all                  # 279243.6 MB/s  umc_mem_bandwidth   
   128.319524651      1,008,026,461 ns   duration_time                                                         
   129.321954446      4,338,624,965      umc_cas_cmd.all                  # 277672.0 MB/s  umc_mem_bandwidth   
   129.321954446      1,002,429,795 ns   duration_time                                                         
   130.325950998      4,373,259,440      umc_cas_cmd.all                  # 279888.6 MB/s  umc_mem_bandwidth   
   130.325950998      1,003,996,552 ns   duration_time                                                         
#           time             counts unit events
   131.327495578      4,330,025,837      umc_cas_cmd.all                  # 277121.7 MB/s  umc_mem_bandwidth   
   131.327495578      1,001,544,580 ns   duration_time                                                         
   132.329954563      4,346,984,830      umc_cas_cmd.all                  # 278207.0 MB/s  umc_mem_bandwidth   
   132.329954563      1,002,458,985 ns   duration_time                                                         
   133.335948615      4,366,588,555      umc_cas_cmd.all                  # 279461.7 MB/s  umc_mem_bandwidth   
   133.335948615      1,005,994,052 ns   duration_time                                                         
   134.337503606      4,355,601,743      umc_cas_cmd.all                  # 278758.5 MB/s  umc_mem_bandwidth   
   134.337503606      1,001,554,991 ns   duration_time                                                         
   135.341923120      4,357,053,226      umc_cas_cmd.all                  # 278851.4 MB/s  umc_mem_bandwidth   
   135.341923120      1,004,419,514 ns   duration_time                                                         
   136.343503991      4,347,848,026      umc_cas_cmd.all                  # 278262.3 MB/s  umc_mem_bandwidth   
   136.343503991      1,001,580,871 ns   duration_time                                                         
   137.344954821      4,328,103,347      umc_cas_cmd.all                  # 276998.6 MB/s  umc_mem_bandwidth   
   137.344954821      1,001,450,830 ns   duration_time                                                         
   138.346950334      4,318,759,404      umc_cas_cmd.all                  # 276400.6 MB/s  umc_mem_bandwidth   
   138.346950334      1,001,995,513 ns   duration_time                                                         
   139.350939186      4,347,483,351      umc_cas_cmd.all                  # 278238.9 MB/s  umc_mem_bandwidth   
   139.350939186      1,003,988,852 ns   duration_time                                                         
   140.352505696      4,348,291,674      umc_cas_cmd.all                  # 278290.7 MB/s  umc_mem_bandwidth   
   140.352505696      1,001,566,510 ns   duration_time                                                         
   141.354517359      4,285,440,053      umc_cas_cmd.all                  # 274268.2 MB/s  umc_mem_bandwidth   
   141.354517359      1,002,011,663 ns   duration_time                                                         
   142.357425706      4,295,904,557      umc_cas_cmd.all                  # 274937.9 MB/s  umc_mem_bandwidth   
   142.357425706      1,002,908,347 ns   duration_time                                                         
   143.360952126      4,292,860,911      umc_cas_cmd.all                  # 274743.1 MB/s  umc_mem_bandwidth   
   143.360952126      1,003,526,420 ns   duration_time                                                         
   144.363959864      4,296,968,341      umc_cas_cmd.all                  # 275006.0 MB/s  umc_mem_bandwidth   
   144.363959864      1,003,007,738 ns   duration_time                                                         
   145.365503595      4,335,508,322      umc_cas_cmd.all                  # 277472.5 MB/s  umc_mem_bandwidth   
   145.365503595      1,001,543,731 ns   duration_time                                                         
   146.368969804      4,322,194,514      umc_cas_cmd.all                  # 276620.4 MB/s  umc_mem_bandwidth   
   146.368969804      1,003,466,209 ns   duration_time                                                         
   147.370491505      4,303,703,417      umc_cas_cmd.all                  # 275437.0 MB/s  umc_mem_bandwidth   
   147.370491505      1,001,521,701 ns   duration_time                                                         
   148.373943855      4,335,306,555      umc_cas_cmd.all                  # 277459.6 MB/s  umc_mem_bandwidth   
   148.373943855      1,003,452,350 ns   duration_time                                                         
   149.375509745      4,277,066,844      umc_cas_cmd.all                  # 273732.3 MB/s  umc_mem_bandwidth   
   149.375509745      1,001,565,890 ns   duration_time                                                         
   150.377952010      4,324,435,824      umc_cas_cmd.all                  # 276763.9 MB/s  umc_mem_bandwidth   
   150.377952010      1,002,442,265 ns   duration_time                                                         
   151.382953167      4,323,326,505      umc_cas_cmd.all                  # 276692.9 MB/s  umc_mem_bandwidth   
   151.382953167      1,005,001,157 ns   duration_time                                                         
   152.384492008      4,320,697,045      umc_cas_cmd.all                  # 276524.6 MB/s  umc_mem_bandwidth   
   152.384492008      1,001,538,841 ns   duration_time                                                         
   153.387517895      4,293,485,330      umc_cas_cmd.all                  # 274783.1 MB/s  umc_mem_bandwidth   
   153.387517895      1,003,025,887 ns   duration_time                                                         
   154.391950619      4,335,041,640      umc_cas_cmd.all                  # 277442.7 MB/s  umc_mem_bandwidth   
   154.391950619      1,004,432,724 ns   duration_time                                                         
   155.393506820      4,305,459,565      umc_cas_cmd.all                  # 275549.4 MB/s  umc_mem_bandwidth   
   155.393506820      1,001,556,201 ns   duration_time                                                         
